No,歌人,歌人（ひらがな）,上の句,下の句,現代語訳,上の句（ひらがな）,下の句（ひらがな）,男性,女性,上皇,僧,春,夏,秋,冬,恋,別れ,旅,上の句決まり字,上の句決まり字数,下の句決まり字,下の句決まり字数,URL
11,参議篁,さんぎのたかむら,わたの原八十島かけて漕ぎ出でぬと,人にはつげよ海人の釣船,海を越えて、たくさんの島々を渡って、船を漕ぎ出す。みんなに伝えてくれ、漁師さんの釣り舟よ。都の家族に、無事に旅立ったって知らせてくれ。不安でたまらないけど、仕方ない。どうか、見守っていてくれ。,わたのはらやそしまかけてこぎいでぬと,ひとにはつげよあまのつりぶね,1,0,0,0,0,0,0,0,0,0,1,わたのはらや,6,ひとには,4,https://hyakuninisshu.sakura.ne.jp/11.html
12,僧正遍昭,そうじょうへんじょう,天つ風雲の通ひ路吹きとぢよ,乙女の姿しばしとどめむ,なんて素晴らしい舞だ。天女が天から舞い降りてきたみたいじゃないか。お願いだ。空を吹く風よ、あの天女が天に帰っていく雲の通り道を、どうか吹き寄せて閉ざしてくれ！こんなに美しい姿を、すぐに帰してしまうなんて、あまりに惜しい。もう少しだけ、もう少しだけ、その姿をここに留めておきたい。,あまつかぜくものかよひぢふきとぢよ,をとめのすがたしばしとどめむ,1,0,0,1,0,0,0,0,0,0,0,あまつ,3,を,1,https://hyakuninisshu.sakura.ne.jp/12.html
13,陽成院,ようぜいいん,筑波嶺の峰より落つるみなの川,恋ぞつもりて淵となりぬる,筑波山の男女川（みなのがわ）のごとく、一滴の雫が次第に流れを作り、やがて大きな溝にどんどんと水が溜まっていく。そんなふうに、あなたへの想いがとめどなく溢れてきます。悟られぬよう、恋心を秘めておくつもりでしたが、それはできないのでしょう。,つくばねのみねよりおつるみなのがは,こひぞつもりてふちとなりぬる,1,0,1,0,0,0,0,0,1,0,0,つく,2,こいそ,3,https://hyakuninisshu.sakura.ne.jp/13.html
14,河原左大臣,かわはらさだいじん,陸奥のしのぶもぢずりたれゆえに,乱れそめにしわれならなくに,私の心は、陸奥の乱れ模様の染物「しのぶもじずり」のように、乱れに乱れている。こうも心が乱れてしまうのは、考えさせてしまうあなたのせい。,みちのくのしのぶもぢずりたれゆゑに,みだれそめにしわれならなくに,1,0,0,0,0,0,0,0,1,0,0,みち,2,みだれそ,4,https://hyakuninisshu.sakura.ne.jp/14.html
15,光孝天皇,こうこうてんのう,君がため春の野に出でて若菜摘む,わが衣手に雪は降りつつ,君のためにね、寒い春の野っぱらに出て、若菜を摘んできたんだ。雪がずっと袖に降りかかって、びしょびしょになってしまった。でも、君に渡すものだから、へいき。,きみがためはるののにいでてわかなつむ,わがころもでにゆきはふりつつ,1,0,0,0,1,0,0,0,0,0,0,きみがためは,6,わがころもでに,7,https://hyakuninisshu.sakura.ne.jp/15.html
16,中納言行平,ちゅうなごんゆきひら,立ち別れいなばの山の峰に生ふる,まつとし聞かば今帰り来む,お別れ。これから因幡の国へ行きます。あの因幡の山に生えている松ではないけども、君の「待ってるね」の声が聞こえたら、その時は、すぐに都へ帰ってくるよ。,たちわかれいなばのやまのみねにおふる,まつとしきかばいまかへりこむ,1,0,0,0,0,0,0,0,0,1,0,たち,2,まつ,2,https://hyakuninisshu.sakura.ne.jp/16.html
17,在原業平朝臣,ありわらのなりひらあそん,ちはやぶる神代も聞かず竜田川,から紅に水くくるとは,神代にだって、こんな景色はあっただろうか。竜田川に流れる紅葉が、真っ赤に染め上げているではないか。高子（たかいこ）さん。貴女と見たかった、この景色。もう、遠い人になってしまった。叶わぬことだよ。,ちはやぶるかみよもきかずたつたがは,からくれなゐにみづくくるとは,1,0,0,0,0,0,1,0,0,0,0,ちは,2,から,2,https://hyakuninisshu.sakura.ne.jp/17.html
18,藤原敏行朝臣,ふじわらのとしゆきあそん,住の江の岸に寄る波よるさへや,夢の通ひ路人目よくらむ,あなたは、どうして私のところへ寄ってくださらないのでしょうか。住之江の岸には、波はこんなにも打ち寄せてくるというのに。あなたは夜でさえ私に寄ってくださらない。現実では、人目を恐れ、お逢いできないのは仕方がありません。けれど、せめて夢の中だけでも、心ゆくまでお逢いしたい。,すみのえのきしによるなみよるさへや,ゆめのかよひぢひとめよくらむ,1,0,0,0,0,0,0,0,1,0,0,す,1,ゆめ,2,https://hyakuninisshu.sakura.ne.jp/18.html
19,伊勢,いせ,難波潟短き葦のふしの間も,逢はでこの世を過ぐしてよとや,あなたは、冷たい仕打ちをなさいますね。難波潟の葦の節の間のような、ほんのわずかな、短い時間で結構なのです。それさえも許されないまま、この世を去れと仰せになるのでしょうか。,なにはがたみじかきあしのふしのまも,あはでこのよをすぐしてよとや,0,1,0,0,0,0,0,0,1,0,0,なにはが,4,おはて,3,https://hyakuninisshu.sakura.ne.jp/19.html
20,元良親王,もとよししんのう,わびぬれば今はた同じ難波なる,身をつくしても逢はむとぞ思ふ,もう、どうなっても構いません。あなたとお逢いできない寂しさとつらさは、私はもう、身を捨てたのも同然。ですから、せめて、今すぐにでも貴方様にお逢いしたい。命を懸けても構わない。海に立つ澪標（みおつくし）のように、この身を尽くそうではありませんか。,わびぬればいまはたおなじなにはなる,みをつくしてもあはむとぞおもふ,1,0,0,0,0,0,0,0,1,0,0,わび,2,みをつくしても,7,https://hyakuninisshu.sakura.ne.jp/20.html
21,素性法師,すじょうほうし,今来むといひしばかりに長月の,有明の月を待ち出でつるかな,「いま行くよ」、そうおっしゃったではありませんか。私はそのお言葉を信じ、ずっとお待ちしておりました。ですが、夜が更け、夜通し待ち続け、空には九月の有明の月が残っているではありませんか。この待ち続けた私の切ない想いは、どうしてくださるのでしょう。,いまこむといひしばかりにながつきの,ありあけのつきをまちいでつるかな,1,0,0,1,0,0,0,0,1,0,0,いまこ,3,あり,2,https://hyakuninisshu.sakura.ne.jp/21.html
22,文屋康秀,ふんやのやすひで,吹くからに秋の草木のしをるれば,むべ山風を嵐といふらむ,山から風が吹くと秋の草木がしおれるから、山に風と書いて「嵐」と読むように、私の心が乱れて、戸が開いているのではありませんよ。まるで恋人の訪れを待っているかのように開いたままのこの戸は、寂しさを捨てきれない私の姿でしょうか。,ふくからにあきのくさきのしをるれば,むべやまかぜをあらしといふらむ,1,0,0,0,0,0,1,0,0,0,0,ふ,1,むべ,2,https://hyakuninisshu.sakura.ne.jp/22.html
23,大江千里,おおえのちさと,月見れば千々にものこそ悲しけれ,わが身ひとつの秋にはあらねど,月の光を見るたびに、どうしてこんなにも悲しい気持ちになるのでしょうか。秋は、誰にでも平等に訪れるはず。私一人だけに訪れたわけではないのに、なぜか私だけが、こんなにも物思いに沈み、あれこれと悲しいことを思い出してしまう。そんな気がしてしまうのです。,つきみればちぢにものこそかなしけれ,わがみひとつのあきにはあらねど,1,0,0,0,0,0,1,0,0,0,0,つき,2,わがみひ,4,https://hyakuninisshu.sakura.ne.jp/23.html
24,菅家,かんけ,このたびは幣もとりあへず手向山,紅葉の錦神のまにまに,突然の旅でしたので、お供えする幣（ぬさ）を用意することができませんでした。ですから、手向山の神様。どうか、この美しい紅葉を、私の真心の代わりとして、捧げさせてください。,このたびはぬさもとりあへずたむけやま,もみぢのにしきかみのまにまに,1,0,0,0,0,0,0,0,0,0,1,この,2,もみ,2,https://hyakuninisshu.sakura.ne.jp/24.html
25,三条右大臣,さんじょうのうだいじん,名にし負はば逢坂山のさねかずら,人に知られでくるよしもがな,逢坂山に生える実蔓（さねかずら）よ…。この言葉のように、蔓に、あなたをそっと絡ませて、私のもとへ手繰り寄せ、「逢坂」で「逢瀬」をとげたいのです。,なにしおはばあふさかやまのさねかづら,ひとにしられでくるよしもがな,1,0,0,0,0,0,0,0,1,0,0,なにし,3,ひとにし,4,https://hyakuninisshu.sakura.ne.jp/25.html
26,貞信公,さだのぶこう,小倉山峰のもみぢ葉心あらば,今ひとたびのみゆき待たなむ,小倉山の紅葉よ。心があるならもう散らないでほしい。醍醐天皇がもう一度この美しさを見にお出ましになるまで、どうか待っていてくれないか。,をぐらやまみねのもみぢばこころあらば,いまひとたびのみゆきまたなむ,1,0,0,0,0,0,1,0,0,0,0,をぐ,2,いまひとたびのみ,8,https://hyakuninisshu.sakura.ne.jp/26.html
27,中納言兼輔,ちゅうなごんかねすけ,みかの原わきて流るる泉川,いつ見きとてか恋しかるらむ,みかの原を分けるように湧き出る井出の泉川じゃないけれど、いつあなたに会ったとて、これほどまでに恋しくてたまらなくなるなんて。,みかのはらわきてながるるいづみがは,いつみきとてかこひしかるらむ,1,0,0,0,0,0,0,0,1,0,0,みかの,3,いつみ,3,https://hyakuninisshu.sakura.ne.jp/27.html
28,源宗于朝臣,みなもとのむねゆきあそん,山里は冬ぞ寂しさまさりける,人目も草もかれぬと思へば,山里というのは寂しいものだけど、冬は一段と寂しさが増す。不遇な状況になり、誰にも相手をされず、訪ねてくれる人もいなくなった。草木もすっかり枯れてしまったようだ。,やまざとはふゆぞさびしさまさりける,ひとめもくさもかれぬとおもへば,1,0,0,0,0,0,0,1,0,0,0,やまざ,3,ひとめ,3,https://hyakuninisshu.sakura.ne.jp/28.html
29,凡河内躬恒,おおこうちのみつね,心あてに折らばや折らむ初霜の,置きまどはせる白菊の花,心を込めて手折れるものだろうか。初霜が降りて、どれが菊なのか見分けもつかないほど真っ白で美しい、幻想的な白菊の花を,こころあてにをらばやをらむはつしもの,おきまどはせるしらぎくのはな,1,0,0,0,0,0,1,0,0,0,0,こころあ,4,お,1,https://hyakuninisshu.sakura.ne.jp/29.html
30,壬生忠岑,みぶのただみね,有明のつれなく見えし別れより,暁ばかり憂きものはなし,あなたとの別れを惜しんで帰る道で見た有明の月は、知らぬ顔をしていた。それ以来、夜明けの頃になると、辛くなって、たまらなくなる。,ありあけのつれなくみえしわかれより,あかつきばかりうきものはなし,1,0,0,0,0,0,0,0,1,0,0,ありあ,3,あか,2,https://hyakuninisshu.sakura.ne.jp/30.html
31,坂上是則,さかのうえのこれのり,朝ぼらけ有明の月と見るまでに,吉野の里に降れる白雪,夜がぼんやりあける頃、外を眺めたら、吉野の里に有明の月が出ているのかと思うほど、白い雪が一面に降り積もっていた。,あさぼらけありあけのつきとみるまでに, よしののさとに ふれるしらゆき,1,0,0,0,0,0,0,1,0,0,0,あさぼらけあ,6,よし,2,https://hyakuninisshu.sakura.ne.jp/31.html
32,春道列樹,はるみちのつらき,山川に風のかけたるしがらみは,流れもあへぬ紅葉なりけり,山の間を流れる川に風がかけたしがらみかと思ったら、それは溜まっている紅葉だったんだね。秋の風が、景色を美しく彩ってくれた。,やまがはにかぜのかけたるしがらみは,ながれもあへぬもみぢなりけり,1,0,0,0,0,0,1,0,0,0,0,やまが,3,ながれ,3,https://hyakuninisshu.sakura.ne.jp/32.html
33,紀友則,きのとものり,ひさかたの光のどけき春の日に,しづ心なく花の散るらむ,うららかで風もない穏やかな春の日なのに、桜の花はまるで静かな心を持たないかのように、どうしてこんなにせわしなく散り急いでしまうんだろう。,ひさかたのひかりのどけきはるのひに,しづこころなくはなのちるらむ,1,0,0,0,1,0,0,0,0,0,0,ひさ,2,しず,2,https://hyakuninisshu.sakura.ne.jp/33.html
34,藤原興風,ふじわらのおきかぜ,誰をかも知る人にせむ高砂の,松も昔の友ならなくに,誰を心を通わせられる友にしたらいいんだろう。高砂の松は長く生きているけれど、昔からずっと一緒にいた友というわけじゃないし、長く生きれば友との別れも経験してしまうものだから。,たれをかもしるひとにせむたかさごの,まつもむかしのともならなくに,1,0,0,0,0,0,0,0,0,0,0,たれ,2,まつも,3,https://hyakuninisshu.sakura.ne.jp/34.html
35,紀貫之,きのつらゆき,人はいさ心も知らずふるさとは,花ぞ昔の香に匂ひける,人の心は変わってしまうものだから、久しぶりに訪れたあなたの気持ちももうわからない。でもこの昔馴染みの宿の里では、梅の花が昔と変わらぬ香りを今も漂わせているよ。,ひとはいさこころもしらずふるさとは,はなぞむかしのかににほひける,1,0,0,0,1,0,0,0,0,0,0,ひとは,3,はなぞ,3,https://hyakuninisshu.sakura.ne.jp/35.html
36,清原深養父,きよはらのふかやぶ,夏の夜はまだ宵ながら明けぬるを,雲のいずこに月宿るらむ,もう、夜明けか。 短い夏の夜ってあっという間。まだだと思ってたのに…。ねえ、あの月、いったいどの雲の向こうに隠れたのかしら。 ずっと見ていたかったのに。,なつのよはまだよひながらあけぬるを,くものいづこにつきやどるらむ,1,0,0,0,0,1,0,0,0,0,0,なつ,2,くもの,3,https://hyakuninisshu.sakura.ne.jp/36.html
37,文屋朝康,ふんやのともやす,白露に風の吹きしく秋の野は,つらぬきとめぬ玉ぞ散りける,秋の野原に風が吹いてる。そのたびに、草の上の真っ白い露がキラキラと飛び散って、まるで誰かが糸を通し忘れた真珠の玉を撒き散らしたみたい。すごく綺麗なんだけど、なんだか儚くて、誰かの命の終わりみたいに思えて胸が痛むよ。,しらつゆにかぜのふきしくあきののは,つらぬきとめぬたまぞちりける,1,0,0,0,0,0,1,0,0,0,0,しら,2,つ,1,https://hyakuninisshu.sakura.ne.jp/37.html
38,右近,うこん,忘らるる身をば思はず誓ひてし,人の命の惜しくもあるかな,私が忘れられるのはもういいの。でも、神様の前で私を愛すって誓ったあなたが、その誓いを破って神罰で命を落とすんじゃないかと思うと、そっちの方が惜しいわ。私を捨てるなんて、命がけの裏切りなんだからね。,わすらるるみをばおもはずちかひてし,ひとのいのちのをしくもあるかな,0,1,0,0,0,0,0,0,1,0,0,わすら,3,ひとの,3,https://hyakuninisshu.sakura.ne.jp/38.html
39,参議等,さんぎひとし,浅茅生の小野の篠原忍ぶれど,あまりてなどか人の恋しき,浅い茅が生い茂る野原の篠竹（しのだけ）みたいに、心に秘めても秘めきれない！ なんでこんなにもあの人のことが恋しいんだろう？ 隠そうとすればするほど、荒涼とした野のように気持ちが溢れて苦しいよ。,あさぢふのをののしのはらしのぶれど,あまりてなどかひとのこひしき,1,0,0,0,0,0,0,0,1,0,0,あさじ,3,あまり,3,https://hyakuninisshu.sakura.ne.jp/39.html
40,平兼盛,たいらのかねもり,忍ぶれど色に出でにけりわが恋は,ものや思ふと人の問ふまで,誰にもバレないように、この思いをずっと隠してきたつもりだったのに。最近、顔色まで変わっちゃったみたい。「何か悩みでもあるの？」って人から聞かれる始末だ。もう、隠し通すのは無理かも。,しのぶれどいろにいでにけりわがこひは,ものやおもふとひとのとふまで,1,0,0,0,0,0,0,0,1,0,0,しの,2,もの,2,https://hyakuninisshu.sakura.ne.jp/40.html
41,壬生忠見,みぶのただみ,恋すてふわが名はまだき立ちにけり,人知れずこそ思ひそめしか,もう「恋してる」って噂になったの？まだ誰にも気づかれないように、心の奥でそっと想い始めたばかりなのに、なんでこんなに早く知れ渡るのか。,こひすてふわがなはまだきたちにけり,ひとしれずこそおもひそめしか,1,0,0,0,0,0,0,0,1,0,0,こい,2,ひとし,3,https://hyakuninisshu.sakura.ne.jp/41.html
42,清原元輔,きよはらのもとすけ,契りきなかたみに袖をしぼりつつ,末の松山波越さじとは,約束したよね？ 末の松山がどんな大波にも決して越えられないように、私たちの愛も永遠に変わらないって、涙で濡れた袖を絞りながら約束したじゃないか。揺るぎない愛を信じているよ。,ちぎりきなかたみにそでをしぼりつつ,すゑのまつやまなみこさじとは,1,0,0,0,0,0,0,0,1,0,0,ちぎりき,4,す,1,https://hyakuninisshu.sakura.ne.jp/42.html
43,権中納言敦忠,ごんちゅうなごんあつただ,逢ひ見ての後の心にくらぶれば,昔はものを思はざりけり,初めてあなたと結ばれた今朝、実感したよ。逢う前にあれこれ悩んでた物思いなんて、今のこの満たされた気持ちに比べたら、本当に何でもなかったんだね。,あひみてののちのこころにくらぶれば,むかしはものをおもはざりけり,1,0,0,0,0,0,0,0,1,0,0,あい,2,むか,2,https://hyakuninisshu.sakura.ne.jp/43.html
44,中納言朝忠,ちゅうなごんともただ,逢ふことの絶えてしなくはなかなかに,人をも身をも恨みざらまし,いっそ、あなたと出会うことさえなければよかった。そうすれば、あなたの冷たさに傷ついたり、自分自身の惨めな姿を嘆いたりすることもなかったのに。会えて幸せだった分、今のつれなさが余計につらいよ。,あふことのたえてしなくはなかなかに,ひとをもみをもうらみざらまし,1,0,0,0,0,0,0,0,1,0,0,あふこ,3,ひとを,3,https://hyakuninisshu.sakura.ne.jp/44.html
45,謙徳公,けんとくこう,あはれともいふべき人は思ほえで,身のいたずらになりぬべきかな,もう、私を憐れんでくれる人なんて誰も思い浮かばない。あなたに捨てられて、私はこのままむなしく死んでいくのだろうか。せめて、最後くらいは同情してほしい、こんなに落ちぶれた私でも。,あはれともいふべきひとはおもほえで,みのいたづらになりぬべきかな,1,0,0,0,0,0,0,0,1,0,0,あはれ,3,みの,2,https://hyakuninisshu.sakura.ne.jp/45.html
46,曽禰好忠,そねのよしただ,由良の戸を渡る舟人かぢをたえ,ゆくへも知らぬ恋の道かな,まるで、激しい流れの由良の河口で、櫂（かい）を失くした船乗りの気分だ。一体、この恋の行方はどこに向かうんだろう？ 流れに任せるしかないなんて、心もとないにもほどがある。,ゆらのとをわたるふなびとかぢをたえ,ゆくへもしらぬこひのみちかな,1,0,0,0,0,0,0,0,1,0,0,ゆら,2,ゆく,2,https://hyakuninisshu.sakura.ne.jp/46.html
47,恵慶法師,えけいほうし,八重むぐら茂れる宿のさびしきに,人こそ見えね秋は来にけり,この屋敷は、つる草が何重にも生い茂って、誰も訪ねてくることのない寂しい場所だけど、ああ、たしかに秋だけはちゃんとやって来たんだね。荒れ果てた河原院にも、季節だけは平等に巡ってくるものだ。,やへむぐらしげれるやどのさびしきに,ひとこそみえねあきはきにけり,1,0,0,1,0,0,1,0,0,0,0,やえ,2,ひとこそみ,5,https://hyakuninisshu.sakura.ne.jp/47.html
48,源重之,みなもとのしげゆき,風をいたみ岩うつ波のおのれのみ,くだけてものを思ふころかな,風がものすごく激しく吹いて、波が岩に打ち当たってひとりでに砕け散るように、僕の心もあなたへの激しい想いで砕け散りそうだよ。どれだけ熱烈に想っても、岩のように冷たいあなたは受け止めてくれない。,かぜをいたみいはうつなみのおのれのみ,くだけてものをおもふころかな,1,0,0,0,0,0,0,0,1,0,0,かぜを,3,くた,2,https://hyakuninisshu.sakura.ne.jp/48.html
49,大中臣能宣朝臣,おおなかとみのよしのぶあそん,御垣守衛士のたく火の夜は燃え,昼は消えつつものをこそ思へ,門番が夜に燃やし、昼には消えるかがり火みたいに、僕の恋の炎は夜になると燃え上がり、昼はあなたに会えない切なさで消え入るように沈んで、物思いにふけっているんだ。,みかきもりゑじのたくひのよるはもえ,ひるはきえつつものをこそおもへ,1,0,0,0,0,0,0,0,1,0,0,みかき,3,ひる,2,https://hyakuninisshu.sakura.ne.jp/49.html
50,藤原義孝,ふじわらのよしたか,君がため惜しからざりし命さへ,長くもがなと思ひけるかな,あなたに初めて逢う前は、この命がどうなっても構わないと思っていた。でも、あなたと出会ってからは、もう一生涯、末永く一緒にいたいと願うようになったよ。,きみがためをしからざりしいのちさへ,ながくもがなとおもひけるかな,1,0,0,0,0,0,0,0,1,0,0,きみがためを,6,ながく,3,https://hyakuninisshu.sakura.ne.jp/50.html
51,藤原実方朝臣,ふじわらのさねかたあそん,かくとだにえやはいぶきのさしも草,さしも知らじな燃ゆる思ひを,これほどまで恋い焦がれているって、あなたに言ったところで信じてもらえるかな？ 伊吹山（いぶきやま）のさしも草を燃やすお灸みたいに熱い、僕のこの燃える想いを、あなたはちっともご存じないでしょう。,かくとだにえやはいぶきのさしもぐさ,さしもしらじなもゆるおもひを,1,0,0,0,0,0,0,0,1,0,0,かく,2,さ,1,https://hyakuninisshu.sakura.ne.jp/51.html
52,藤原道信朝臣,ふじわらのみちのぶあそん,明けぬれば暮るるものとは知りながら,なほ恨めしき朝ぼらけかな,夜が明けても、また日が暮れればあなたに逢えるってわかってる。わかっているのに、この別れの朝ぼらけがどうしようもなく恨めしいんだ。一瞬たりとも離れたくないのに。,あけぬればくるるものとはしりながら,なほうらめしきあさぼらけかな,1,0,0,0,0,0,0,0,1,0,0,あけ,2,なおう,3,https://hyakuninisshu.sakura.ne.jp/52.html
53,右大将道綱母,うだいしょうみちつなはは,嘆きつつひとり寝る夜の明くる間は,いかに久しきものとかは知る,あなたが来ない夜、私ひとりで泣きながら眠る夜明けまでの時間が、どれほど長くてつらいものか、あなたには本当にわかるの？ 色褪せた菊みたいに、私の心も萎れていくわ。,なげきつつひとりぬるよのあくるまは,いかにひさしきものとかはしる,0,1,0,0,0,0,0,0,1,0,0,なげき,3,いか,2,https://hyakuninisshu.sakura.ne.jp/53.html
54,儀同三司母,ぎどうさんしのはは,忘れじの行く末まではかたければ,今日をかぎりの命ともがな,「ずっと忘れない」なんて、きっと難しい約束でしょう。だから、その幸せな言葉を聞いた今日限りで私の命が終わってしまえばいいのに。この最高の瞬間を永遠にしたいわ。,わすれじのゆくすゑまではかたければ,けふをかぎりのいのちともがな,0,1,0,0,0,0,0,0,1,0,0,わすれ,3,きょうを,4,https://hyakuninisshu.sakura.ne.jp/54.html
55,大納言公任,だいなごんきんとう,滝の音は絶えて久しくなりぬれど,名こそ流れてなほ聞こえけれ,あの大覚寺の滝、もう水が流れる音を聞かなくなってからずいぶん経つけど、その素晴らしい名声だけは、今も変わらずに人々の間で流れ伝わっているんだね。,たきのおとはたえてひさしくなりぬれど,なこそながれてなほきこえけれ,1,0,0,0,0,0,0,0,0,0,0,たき,2,なこ,2,https://hyakuninisshu.sakura.ne.jp/55.html
56,和泉式部,いずみしきぶ,あらざらむこの世のほかの思ひ出に,今ひとたびの逢ふこともがな,私はもうすぐこの世を去ってしまうのでしょう。だから、あの世へ持っていく最期の思い出として、もう一度、あなたにお会いしたいのです。,あらざらむこのよのほかのおもひでに,いまひとたびのあふこともがな,0,1,0,0,0,0,0,0,1,0,0,あらざ,3,いまひとたびのあ,8,https://hyakuninisshu.sakura.ne.jp/56.html
57,紫式部,むらさきしきぶ,めぐり逢ひて見しやそれとも分かぬ間に,雲隠れにし夜半の月かな,久しぶりに偶然再会したのに、あなたが誰か確認する間もなく、夜更けの月が雲に隠れるみたいに、さっさと帰っちゃった。もう少し話したかったのに、名残惜しいわね。,めぐりあひてみしやそれともわかぬまに,くもがくれにしよはのつきかな,0,1,0,0,0,0,0,0,0,0,0,め,1,くもが,3,https://hyakuninisshu.sakura.ne.jp/57.html
